"Curve","Ci","Photo","Tleaf","PARi","adult"
"35_7_8",252.9890683,15.00978357,24.89766502,1799.942505,0
"35_7_8",456.8886957,19.83387409,24.95516396,1799.323242,0
"35_7_8",680.0729494,21.36675013,25.06282616,1800.807495,0
"35_7_8",949.1646472,21.92332828,25.1393261,1798.557617,0
"35_7_8",1218.50847,22.85103323,25.04043007,1799.577026,0
"35_7_8",1303.490229,22.62879203,24.96071625,1800.72583,0
"35_7_8",1480.799361,22.52479727,24.94065666,1799.766968,0
"35_7_8",231.3683866,12.54080739,25.22473907,1800.384521,0
"15_1_2",264.9753451,19.98748306,24.83041191,1800.455444,1
"15_1_2",53.50847646,-0.755649193,24.97480774,1800.966309,1
"15_1_2",76.33170931,3.360926982,24.98438835,1800.595825,1
"15_1_2",108.4916548,6.122242218,24.94735718,1800.544922,1
"15_1_2",158.4851167,10.89859196,24.95446587,1799.340698,1
"15_1_2",222.1462353,16.52258986,24.99936104,1800.569336,1
"15_1_2",272.793386,19.81780568,25.02995682,1799.949219,1
"15_1_2",471.7515716,26.98829584,24.95897484,1800.642212,1
"15_1_2",710.306055,28.12984407,24.79695702,1799.868164,1
"15_1_2",993.1021108,28.34756059,25.11154366,1800.45459,1
"15_1_2",1277.504642,29.33665507,25.1199894,1799.633301,1
"15_1_2",1373.193217,29.56649727,25.08011627,1800.22937,1
"15_1_2",1572.903804,28.90698446,24.89943695,1801.361084,1
"15_1_2",271.144252,18.5437597,25.03014946,1800.252808,1
"1000_2_3",243.7486468,17.8756036,25.09581375,1799.13269,1
"1000_2_3",52.90070817,-0.493167289,25.32673454,1798.510254,1
"1000_2_3",77.97834694,2.515392021,24.78201675,1799.119019,1
"1000_2_3",108.456907,4.94072475,24.56505775,1799.706055,1
"1000_2_3",146.9295679,9.728823194,24.83699989,1800.783447,1
"1000_2_3",213.1607845,14.79254833,24.82632637,1800.956787,1
"1000_2_3",247.9917553,18.85415198,24.90136909,1801.002808,1
"1000_2_3",442.0199095,24.42685768,24.87731171,1800.708862,1
"1000_2_3",673.7629348,25.74513746,24.7344799,1800.150024,1
"1000_2_3",960.2131629,25.26452341,24.79607964,1800.637207,1
"1000_2_3",1226.563454,26.76445864,24.95508385,1801.180298,1
"1000_2_3",1302.520274,27.76236426,24.9267807,1799.889282,1
"1000_2_3",1493.683574,26.71366846,24.89003944,1799.619751,1
"1000_2_3",234.3751727,15.77399732,25.1152935,1799.25647,1
"25_2_4",211.73056,15.04891539,24.82365227,1799.783203,0
"25_2_4",54.93521705,-0.579588947,24.90987587,1800.61145,0
"25_2_4",68.89659426,2.582691779,25.03878593,1800.348267,0
"25_2_4",94.14659537,4.701399587,25.1305275,1799.630005,0
"25_2_4",138.7991484,8.087766943,25.1581955,1799.622314,0
"25_2_4",188.1681483,13.1050142,25.06528854,1800.087646,0
"25_2_4",250.43348,15.67915413,25.08184433,1800.536377,0
"25_2_4",441.8790673,22.97702764,25.01877785,1800.217041,0
"25_2_4",658.7924983,24.75811311,24.85029602,1799.872681,0
"25_2_4",936.4723424,25.35790818,24.90047073,1799.330933,0
"25_2_4",1216.874131,25.353412,25.04406738,1800.419678,0
"25_2_4",1275.585205,27.37153564,24.99388313,1800.605713,0
"25_2_4",1470.20851,26.50706212,24.92369843,1799.607544,0
"25_2_4",239.2039375,14.46533792,24.95531654,1799.948242,0
"20_3_4",250.2521733,21.83552166,24.88871765,1801.28772,0
"20_3_4",50.71892585,-0.318679305,24.96878624,1800.282104,0
"20_3_4",79.08235798,2.947473036,24.89752388,1800.782349,0
"20_3_4",105.0314918,6.667442719,24.9557724,1800.479004,0
"20_3_4",155.0765872,11.81745567,24.85775948,1800.224609,0
"20_3_4",215.2009726,18.23281804,25.02166176,1798.796753,0
"20_3_4",265.812847,21.85239031,25.24786568,1800.917969,0
"20_3_4",463.8212111,29.69166317,25.00383568,1801.060913,0
"20_3_4",685.0842571,32.68989602,24.86524391,1799.823975,0
"20_3_4",970.2790264,33.0348351,24.63743401,1800.220703,0
"20_3_4",1236.691052,35.06450623,25.16641426,1799.63562,0
"20_3_4",1322.916996,36.57911008,25.32589531,1800.637695,0
"20_3_4",1520.936173,35.78154118,25.19517326,1798.858521,0
"20_3_4",252.9691733,20.74016368,25.33519363,1800.327271,0
"15_3_7",236.1802457,15.491498,24.90756989,1801.039795,1
"15_3_7",57.87582016,-0.891690948,25.50850487,1800.758057,1
"15_3_7",81.45206974,1.668166583,24.90168953,1800.026367,1
"15_3_7",106.2634472,4.38918859,24.85027695,1799.399048,1
"15_3_7",146.7772593,8.746161257,24.82239342,1801.302856,1
"15_3_7",204.1319424,13.36875286,24.62291145,1800.3927,1
"15_3_7",245.1259987,16.67542587,24.34658432,1799.824341,1
"15_3_7",423.0921987,23.6084177,24.95768166,1799.398926,1
"15_3_7",651.8376808,26.55174027,24.80846405,1801.083618,1
"15_3_7",968.4091238,23.97375485,24.5780201,1801.157715,1
"15_3_7",1236.657756,26.43141536,24.64182663,1801.161255,1
"15_3_7",1340.155912,23.87704157,24.90961075,1800.76709,1
"15_3_7",1504.996796,26.79571709,25.04004478,1801.389893,1
"15_3_7",241.0387641,15.54438479,25.13911057,1799.514282,1
"35_4_4",280.6160915,20.36571969,25.06430817,1800.314331,0
"35_4_4",50.98999118,-0.373954263,24.75220299,1800.133179,0
"35_4_4",79.47270192,3.157629923,24.40942383,1800.25061,0
"35_4_4",112.952976,5.934861702,24.77592087,1798.151123,0
"35_4_4",163.4893122,11.1193963,24.84934998,1799.378662,0
"35_4_4",227.1611656,17.23366267,24.81594467,1800.567383,0
"35_4_4",278.4723274,20.24828693,24.91032791,1800.145386,0
"35_4_4",495.3222701,24.63824312,24.98982048,1800.615356,0
"35_4_4",722.111381,26.87276073,25.10203362,1800.558838,0
"35_4_4",1007.445433,27.45534893,25.11885262,1799.953247,0
"35_4_4",1291.272076,28.57114714,25.10966301,1799.644043,0
"35_4_4",1380.942792,29.47667495,25.1078434,1800.547485,0
"35_4_4",1575.791553,28.85913158,24.98124123,1800.344482,0
"35_4_4",272.0637296,18.9433831,25.10220337,1801.508911,0
"20_4_7",286.8698752,15.31325121,25.10780334,1801.121094,0
"20_4_7",52.33706559,-0.558693045,24.83691597,1801.439087,0
"20_4_7",83.21924997,2.017058954,24.79290199,1800.130981,0
"20_4_7",112.7300401,4.764433836,24.9354496,1801.583618,0
"20_4_7",166.4028993,8.349583893,25.23504639,1799.328735,0
"20_4_7",236.9655141,12.43556815,25.26459503,1799.451538,0
"20_4_7",287.7788911,15.24391329,25.01654625,1800.680298,0
"20_4_7",501.9412779,19.76077545,25.1258316,1798.21167,0
"20_4_7",735.7103249,21.16366842,24.81529999,1800.868896,0
"20_4_7",1023.344788,21.47119843,24.9577713,1800.694092,0
"20_4_7",1311.01511,21.81306916,24.98801994,1798.695801,0
"20_4_7",1405.040925,21.96004295,25.13034248,1800.060059,0
"20_4_7",1585.769284,23.65251093,25.27656746,1798.78125,0
"20_4_7",295.2622737,14.9308997,24.50041199,1801.282104,0
"5_2_6",263.253312,16.03265893,24.90282822,1800.195557,1
"5_2_6",49.47886417,-0.100861722,24.7701931,1800.236938,1
"5_2_6",78.52820511,2.42008293,24.61008644,1800.868774,1
"5_2_6",107.8582702,4.833430765,24.75915718,1799.784058,1
"5_2_6",157.7619656,8.557977408,24.86873627,1800.692261,1
"5_2_6",222.0814385,12.62506045,24.82487679,1801.31311,1
"5_2_6",269.3628194,15.40632713,24.83731651,1801.002808,1
"5_2_6",467.2834833,20.8907264,24.8458004,1800.285767,1
"5_2_6",697.5262759,22.22938892,24.914217,1801.02832,1
"5_2_6",985.1202791,22.13976581,24.83401299,1799.985718,1
"5_2_6",1263.918843,22.95713851,24.8632431,1800.185059,1
"5_2_6",1356.283556,23.07026188,24.90473366,1799.963623,1
"5_2_6",1536.742884,23.8708034,25.03896141,1799.533691,1
"5_2_6",262.1398453,14.133634,25.10323334,1800.73999,1
"1000_5_6",266.3984348,24.14980581,24.92615509,1798.944824,1
"1000_5_6",48.64454002,0.025525676,25.01236534,1799.822998,1
"1000_5_6",76.87146679,4.044830643,24.9415493,1799.784912,1
"1000_5_6",105.5427121,7.915989237,24.99933815,1799.348877,1
"1000_5_6",155.9242438,13.63036804,25.08482552,1798.962158,1
"1000_5_6",219.3706703,20.0091394,25.14237404,1800.022461,1
"1000_5_6",269.8967342,23.99569467,25.15884781,1799.099487,1
"1000_5_6",482.5267128,29.80511942,25.09959221,1799.799683,1
"1000_5_6",719.0499168,31.02025534,25.0102005,1800.32959,1
"1000_5_6",1009.150808,31.47847667,25.04454231,1801.040527,1
"1000_5_6",1297.487996,31.52194769,24.85082817,1800.075806,1
"1000_5_6",1394.468216,31.53142329,24.9504528,1800.061035,1
"1000_5_6",1586.384798,32.03185409,24.68178177,1799.681641,1
"1000_5_6",272.7802882,21.85737808,24.96290398,1800.985229,1
"35_5_7",290.3083493,17.86608335,24.96270561,1800.196533,0
"35_5_7",49.41082276,-0.109676886,25.0743103,1799.481812,0
"35_5_7",81.1988873,2.858722047,24.90995598,1801.032349,0
"35_5_7",113.7540018,5.839779508,24.85573196,1799.234253,0
"35_5_7",168.7263356,10.21313152,24.81576729,1799.914307,0
"35_5_7",239.20384,14.99285317,24.91877174,1799.721802,0
"35_5_7",292.9126427,17.86912808,24.8869381,1800.940308,0
"35_5_7",515.5692094,21.59933539,24.78161049,1801.019653,0
"35_5_7",751.7260124,22.54068871,25.00342369,1799.177734,0
"35_5_7",1043.468879,22.20449302,25.17431068,1800.511597,0
"35_5_7",1326.767494,23.03843939,25.19498253,1799.917603,0
"35_5_7",1423.638938,23.06691536,25.08826447,1798.848022,0
"35_5_7",1611.776302,23.40282379,25.11851311,1800.744019,0
"35_5_7",289.7280282,16.59665601,24.96064186,1800.73877,0
"5_6_3",248.4364542,14.03329247,24.9803524,1800.626953,1
"5_6_3",50.32691323,-0.1937802,25.05151176,1800.017822,1
"5_6_3",77.89889039,1.994016827,25.15317917,1799.739624,1
"5_6_3",105.0881494,4.152283337,25.10661316,1798.928223,1
"5_6_3",152.4267659,7.490439843,25.00531006,1800.121582,1
"5_6_3",211.5616913,11.4648152,24.90985107,1800.593872,1
"5_6_3",255.0062098,14.36816696,25.0513134,1799.171509,1
"5_6_3",450.4642856,19.307479,25.05525589,1801.240479,1
"5_6_3",681.1842269,20.41061733,24.98663139,1800.640869,1
"5_6_3",976.9428202,19.16836998,25.06851387,1800.65564,1
"5_6_3",1254.887126,19.72029958,25.16884422,1800.542358,1
"5_6_3",1344.78118,19.82656109,25.02683067,1800.355713,1
"5_6_3",1527.622911,20.18745552,25.21496582,1799.405762,1
"5_6_3",258.9000915,12.31178158,24.50833702,1800.474365,1
"10_6_5",274.8278941,14.30857384,24.82585335,1799.55127,1
"10_6_5",50.62810376,-0.306151931,24.88095093,1801.239868,1
"10_6_5",80.80626941,2.054123923,24.94568443,1798.603394,1
"10_6_5",110.826341,4.395065651,25.02982712,1798.78833,1
"10_6_5",162.5771312,7.721896707,25.21201134,1801.080566,1
"10_6_5",228.9049771,11.74852576,24.9273262,1800.567139,1
"10_6_5",281.1973318,14.19808057,24.97273827,1798.583862,1
"10_6_5",492.2935877,18.39227946,25.1401825,1800.27832,1
"10_6_5",727.9383421,19.47836944,25.14043427,1800.154175,1
"10_6_5",1024.918643,18.7768658,24.85723114,1800.055908,1
"10_6_5",1308.811981,19.76130298,24.99126625,1800.407837,1
"10_6_5",1399.012764,20.47848021,25.25685883,1800.71814,1
"10_6_5",1591.077431,20.58963007,25.02483559,1799.528442,1
"10_6_5",283.7747148,13.37052268,24.95312119,1800.637207,1
"25_7_3",230.6615251,10.88197783,24.9054966,1800.139526,0
"25_7_3",53.58798811,-0.371150075,24.78156471,1801.043457,0
"25_7_3",76.62016317,1.538987864,24.88983917,1799.997192,0
"25_7_3",101.3615504,3.284254345,25.21512032,1799.635986,0
"25_7_3",143.4963933,6.342598826,25.32651138,1799.797852,0
"25_7_3",200.8500778,9.666885227,25.14260674,1800.871094,0
"25_7_3",243.9849107,12.05924482,25.16428185,1800.10437,0
"25_7_3",425.1608183,17.42805543,24.87641144,1799.953979,0
"25_7_3",628.7545982,20.63135288,25.03598976,1799.365479,0
"25_7_3",892.6658449,22.27791814,25.00148582,1800.443604,0
"25_7_3",1159.86267,23.58769312,25.20788956,1800.77478,0
"25_7_3",1241.075615,24.15220311,25.18200493,1800.934692,0
